No.,SAMPLE_ID,식품명,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1회제공량,에너지(Kcal),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),트랜스 지방산(g)
218,R001717-ZZ-AVG,"소 부산물, 골, 생것",전국(대표),2019,농축산물,육류,R001717,식약처('96),100,120,9.3,8.2,1.7,0,154,0,0,0
219,R001718-ZZ-AVG,"소 부산물, 꼬리, 생것",전국(대표),2019,농축산물,육류,R001718,식약처('96),100,246,17.4,19,0,0,42,0,0,0
220,R001719-ZZ-AVG,"소 부산물, 선지(피), 생것",전국(대표),2019,농축산물,육류,R001719,농진청('04),100,52,10.1,0,2.2,0,598,0,0,0
221,R001720-ZZ-AVG,"소 부산물, 소장(곱창), 생것",전국(대표),2019,농축산물,육류,R001720,식약처('96),100,141,9,11.3,0.1,0,45,0,0,0
222,R001721-ZZ-AVG,"소 부산물, 신장, 생것",전국(대표),2019,농축산물,육류,R001721,국('88),100,90,15.6,1.7,2.2,0,122,0,0,0
223,R001722-ZZ-AVG,"소 부산물, 심장, 생것",전국(대표),2019,농축산물,육류,R001722,국('77),100,105,15.8,4.2,0,0,70,0,0,0
224,R001723-ZZ-AVG,"소 부산물, 양(위), 생것",전국(대표),2019,농축산물,육류,R001723,식약처('96),100,61,9.9,2,0.1,0,33,0,0,0
225,R001724-ZZ-AVG,"소 부산물, 천엽, 생것",전국(대표),2019,농축산물,육류,R001724,식약처('96),100,51,10.3,0.7,0.1,0,28,0,0,0
226,R001725-ZZ-AVG,"소 부산물, 허파, 생것",전국(대표),2019,농축산물,육류,R001725,국('77),100,82,15.8,0.9,1.6,0,54,0,0,0
227,R001726-ZZ-AVG,"소 부산물, 혀, 생것",전국(대표),2019,농축산물,육류,R001726,식약처('96),100,186,13,14.5,0,0,87,0,0,0
228,R001727-ZZ-AVG,"소 부산물, 미국산, 간, 삶은것",전국(대표),2019,농축산물,육류,R001727,USDA('15),100,191,29.08,5.26,5.13,0,79,396,2.947,0.365
229,R001728-ZZ-AVG,"소 부산물, 미국산, 골, 끓인것",전국(대표),2019,농축산물,육류,R001728,USDA('15),100,151,11.67,10.53,1.48,0,108,3100,2.394,0.51
230,R001729-ZZ-AVG,"소 부산물, 미국산, 신장, 끓인것",전국(대표),2019,농축산물,육류,R001729,USDA('15),100,157,27.28,5.27,0,0,123,1002,1.173,0.055
231,R001730-ZZ-AVG,"소 부산물, 미국산, 심장, 끓인것",전국(대표),2019,농축산물,육류,R001730,USDA('15),100,165,28.48,4.73,0.15,0,59,212,1.404,0.16
232,R001731-ZZ-AVG,"소 부산물, 미국산, 허파, 삶은것",전국(대표),2019,농축산물,육류,R001731,USDA('15),100,120,20.4,3.7,0,0,101,277,1.27,0
233,R001732-ZZ-AVG,"소 부산물, 미국산, 혀, 끓인것",전국(대표),2019,농축산물,육류,R001732,USDA('15),100,284,19.29,22.3,0,0,65,132,8.125,0.84
234,R001733-ZZ-AVG,"소 부산물, 외국산, 대장, 생것",전국(대표),2019,농축산물,육류,R001733,JAPAN('15),100,162,9.3,13,0,0,61,150,3.94,0
235,R001734-ZZ-AVG,"소불고기, 생것",전국(대표),2019,농축산물,육류,R001734,식약처('96),100,136,11.5,7.8,4.3,0,396,0,0,0
236,R001735-ZZ-AVG,양지국물,전국(대표),2019,농축산물,육류,R001735,농진청('03),100,4,1,0,0,0,26,0,0,0
237,R001736-ZZ-AVG,"우족국물, 중량3배물",전국(대표),2019,농축산물,육류,R001736,농진청('11),100,2,0.3,0.1,0,0,14,0,0,0
238,R001737-ZZ-AVG,육포,전국(대표),2019,농축산물,육류,R001737,식약처('96),100,361,49,8.2,20.2,0,2180,0,0,0
239,R001738-ZZ-AVG,잡뼈국물,전국(대표),2019,농축산물,육류,R001738,농진청('03),100,27,4.3,1,0,0,61,0,0,0
240,R001739-ZZ-AVG,"송아지고기, 미국산, 갈비, 생것",전국(대표),2019,농축산물,육류,R001739,USDA('15),100,162,18.86,9.01,0,0,89,82,3.71,0
241,R001740-ZZ-AVG,"송아지고기, 미국산, 갈비, 삶은것",전국(대표),2019,농축산물,육류,R001740,USDA('15),100,251,32.43,12.53,0,0,95,139,4.95,0
242,R001741-ZZ-AVG,"송아지고기, 미국산, 갈비, 구운것",전국(대표),2019,농축산물,육류,R001741,USDA('15),100,228,23.96,13.96,0,0,92,110,5.41,0
243,R001742-ZZ-AVG,"송아지고기, 미국산, 등심, 생것",전국(대표),2019,농축산물,육류,R001742,USDA('15),100,177,20.07,10.07,0.07,0,98,59,3.607,0.413
244,R001743-ZZ-AVG,"송아지고기, 미국산, 등심, 삶은것",전국(대표),2019,농축산물,육류,R001743,USDA('15),100,284,30.19,17.21,0,0,80,118,6.73,0
245,R001744-ZZ-AVG,"송아지고기, 미국산, 등심, 구운것",전국(대표),2019,농축산물,육류,R001744,USDA('15),100,217,24.8,12.32,0,0,93,103,5.26,0
246,R001745-ZZ-AVG,"송아지고기, 미국산, 살코기, 생것",전국(대표),2019,농축산물,육류,R001745,USDA('15),100,105,20.04,2.16,0,0,86,83,0.65,0
247,R001746-ZZ-AVG,"송아지고기, 미국산, 살코기, 삶은것",전국(대표),2019,농축산물,육류,R001746,USDA('15),100,201,35.73,5.33,0,0,90,155,1.49,0
248,R001747-ZZ-AVG,"송아지고기, 미국산, 어깨, 생것",전국(대표),2019,농축산물,육류,R001747,USDA('15),100,132,19.34,5.44,0,0,83,82,2.26,0
249,R001748-ZZ-AVG,"송아지고기, 미국산, 어깨, 삶은것",전국(대표),2019,농축산물,육류,R001748,USDA('15),100,236,33.63,10.24,0,0,87,148,3.96,0
250,R001749-ZZ-AVG,"송아지고기, 미국산, 어깨, 구운것",전국(대표),2019,농축산물,육류,R001749,USDA('15),100,183,25.46,8.25,0,0,90,108,3.51,0
251,R001750-ZZ-AVG,"송아지고기, 미국산, 채끝(채끝살), 생것",전국(대표),2019,농축산물,육류,R001750,USDA('15),100,152,19.07,7.81,0,0,76,78,3.35,0
252,R001751-ZZ-AVG,"송아지고기, 미국산, 채끝(채끝살), 삶은것",전국(대표),2019,농축산물,육류,R001751,USDA('15),100,252,31.26,13.14,0,0,79,108,5.18,0
253,R001752-ZZ-AVG,"송아지고기, 미국산, 채끝(채끝살), 구운것(오븐)",전국(대표),2019,농축산물,육류,R001752,USDA('15),100,202,25.14,10.45,0,0,83,102,4.51,0
